	model	lang	pairid	expected	unexpected	diff	acc
3028	yoda model	yoda	105	3.0344846487045287	3.110546016693115	-0.07606136798858643	True
3029	yoda model	yoda	107	3.7447866439819335	3.7220380306243896	0.022748613357543856	False
3030	yoda model	yoda	109	3.2094265460968017	2.683765721321106	0.5256608247756955	False
3031	yoda model	yoda	111	3.175319051742554	2.683765721321106	0.49155333042144767	False
3032	yoda model	yoda	113	3.2094265460968017	3.1719249963760374	0.03750154972076425	False
3033	yoda model	yoda	115	3.175319051742554	3.1719249963760374	0.0033940553665163797	False
3034	yoda model	yoda	117	3.204875040054321	2.683765721321106	0.521109318733215	False
3035	yoda model	yoda	119	3.1659197330474855	2.683765721321106	0.4821540117263794	False
3036	yoda model	yoda	121	3.204875040054321	3.1576862573623656	0.04718878269195548	False
3037	yoda model	yoda	123	3.1659197330474855	3.1576862573623656	0.008233475685119895	False
3038	yoda model	yoda	125	3.627698278427124	3.6116560220718386	0.016042256355285556	False
3039	yoda model	yoda	127	3.7604182243347166	3.5842200756072997	0.1761981487274169	False
3040	yoda model	yoda	129	3.1194721698760985	3.5947679758071898	-0.4752958059310912	True
3041	yoda model	yoda	131	3.1719249963760374	3.659381151199341	-0.4874561548233034	True
3042	yoda model	yoda	133	3.598350262641907	3.659381151199341	-0.06103088855743399	True
3043	yoda model	yoda	135	3.238046741485596	3.5947679758071898	-0.35672123432159397	True
3044	yoda model	yoda	137	2.683765721321106	3.659381151199341	-0.9756154298782347	True
3045	yoda model	yoda	139	3.1048585414886474	3.659381151199341	-0.5545226097106934	True
3046	yoda model	yoda	141	3.532212495803833	4.042152023315429	-0.5099395275115963	True
3047	yoda model	yoda	143	3.598350262641907	3.9825576305389405	-0.3842073678970337	True
3048	yoda model	yoda	145	3.1719249963760374	3.9825576305389405	-0.8106326341629031	True
3049	yoda model	yoda	147	3.658191680908203	4.042152023315429	-0.3839603424072262	True
3050	yoda model	yoda	149	3.1048585414886474	3.9825576305389405	-0.8776990890502931	True
3051	yoda model	yoda	151	2.683765721321106	3.9825576305389405	-1.2987919092178344	True
3052	yoda model	yoda	153	3.67954535484314	3.643236684799194	0.03630867004394567	False
3053	yoda model	yoda	155	3.807898998260498	3.6386789083480835	0.16922008991241455	False
3054	yoda model	yoda	157	3.1194721698760985	3.6381391525268554	-0.5186669826507568	True
3055	yoda model	yoda	159	3.1719249963760374	3.72850661277771	-0.5565816164016724	True
3056	yoda model	yoda	161	3.598350262641907	3.72850661277771	-0.13015635013580296	True
3057	yoda model	yoda	163	3.238046741485596	3.6381391525268554	-0.4000924110412596	True
3058	yoda model	yoda	165	2.683765721321106	3.72850661277771	-1.0447408914566036	True
3059	yoda model	yoda	167	3.1048585414886474	3.72850661277771	-0.6236480712890624	True
3060	yoda model	yoda	169	3.532212495803833	4.061782503128052	-0.5295700073242191	True
3061	yoda model	yoda	171	3.598350262641907	4.070512056350708	-0.4721617937088012	True
3062	yoda model	yoda	173	3.1719249963760374	4.070512056350708	-0.8985870599746706	True
3063	yoda model	yoda	175	3.658191680908203	4.061782503128052	-0.403590822219849	True
3064	yoda model	yoda	177	3.1048585414886474	4.070512056350708	-0.9656535148620606	True
3065	yoda model	yoda	179	2.683765721321106	4.070512056350708	-1.3867463350296019	True
3066	yoda model	yoda	181	3.5993863582611083	3.6195740699768066	-0.02018771171569833	True
3067	yoda model	yoda	183	3.732197570800781	3.618782305717468	0.1134152650833129	False
3068	yoda model	yoda	185	3.1194721698760985	3.6119141817092895	-0.4924420118331909	True
3069	yoda model	yoda	187	3.1719249963760374	3.6562490940093992	-0.4843240976333618	True
3070	yoda model	yoda	189	3.598350262641907	3.6562490940093992	-0.05789883136749241	True
3071	yoda model	yoda	191	3.238046741485596	3.6119141817092895	-0.37386744022369367	True
3072	yoda model	yoda	193	2.683765721321106	3.6562490940093992	-0.9724833726882931	True
3073	yoda model	yoda	195	3.1048585414886474	3.6562490940093992	-0.5513905525207519	True
